insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838339879',-54.973129,-70.271559,150,'Volcán Fueguino o Cook',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838330973',-52.327252,-73.370659,0,'Monte Burney',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838316869',-50.954744,-73.501080,0,'Volcan Reclus',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4446556226',-52.081536,-69.697577,282,'Cerro del Diablo o Negro',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('96196308',-52.151585,-69.485992,279,'Monte Aymond',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3243890447',-62.102774,-57.928482,0,'Deacon Peak',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3243891981',-62.057631,-56.755945,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838310231',-50.284518,-73.668414,0,'Volcan Aguilera',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838304257',-49.015233,-73.516740,3623,'Volcán Lautaro',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838299936',-47.197081,-73.472320,0,'Volcan Arenales',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838294806',-45.918188,-72.883814,1905,'Volcán Hudson',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838290773',-45.107936,-73.166871,2300,'Volcán Macá',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838290772',-45.060661,-72.988026,2090,'Volcán Cay',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838288393',-44.696356,-73.073857,1660,'Volcán Mentolat',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838285244',-44.075608,-72.859814,2440,'Cerro Melimoyu',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3296480607',-43.503251,-72.813820,2042,'Volcán Yanteles',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('534474026',-43.194164,-72.793348,2300,'Volcán Corcovado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('267295885',-42.837666,-72.651079,962,'Volcán Chaitén',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('267296481',-42.811460,-72.445463,2404,'Volcán Michinmahuida',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2838280408',-42.382757,-72.583422,0,'Volcan Huequi',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2810223125',-41.885150,-72.587368,1210,'Volcán Apagado',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3438516180',-41.880921,-72.433054,1572,'Volcán Hornopirén',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3270448169',-41.758686,-72.399455,2187,'Volcán Yate',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('86637068',-41.329852,-72.609825,2015,'Volcán Calbuco',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('84204260',-41.104187,-72.497569,2652,'Volcán Osorno',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354627382',-40.974806,-72.265907,2498,'Volcán Puntiagudo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('102876088',-40.775250,-72.156363,1990,'Volcán Casablanca',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('340315807',-41.161285,-71.887783,3478,'Cerro Tronador',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4363558846',-40.768087,-71.942567,0,'Cerro Pantojo',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354697830',-40.583464,-72.112342,2240,'Volcán Puyehue',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354696405',-40.361541,-72.075894,0,'Volcán Carrán',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4006125199',-40.360736,-72.058890,0,'Volcán Mirador',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354103287',-39.943682,-72.019637,2422,'Volcán Mocho',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354103117',-39.930430,-72.027731,2415,'Volcán Choshuenco',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('511975860',-39.886220,-71.580605,2189,'Cerro Huanquihue',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4325589677',-39.863883,-71.564696,0,'Achen Niyeu',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4530799915',-39.455512,-71.939774,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2702757050',-39.421025,-71.939563,2861,'Volcán Villarrica',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4530799925',-39.413827,-71.843298,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3375680322',-39.637216,-71.503057,3747,'Volcán Lanín',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354692776',-39.497084,-71.718834,2009,'Volcán Quetrupillán',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4530799893',-39.514688,-71.693143,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4530799894',-39.510549,-71.672715,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('4530799924',-39.408887,-71.857289,0,'volcano',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('354119235',-38.695691,-71.730480,3125,'Volcán Llaima',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('2107010860',-38.974700,-71.521325,0,'Nevados de Sollipulli',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('380544765',-38.380204,-71.586809,2865,'Volcán Lonquimay',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('3455750049',-38.368520,-71.552430,0,'Cráter Navidad',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('660544692',-38.314188,-71.648431,2806,'Volcán Tolhuaca',3);
insert into mountains (webid, latitude, longitude, height, name, linktype) values ('1419480997',-38.814403,-71.185219,1948,'Batea Mahuida',3);
